RENDERING,TAG,TAG1
ATOLProtection,Others,
Accordion,Mixed,
AlertInformation,Mixed,
AlertMessages,Mixed,
AlternativeBoardsPopup,Booking,PostBooking
AlternativeFlights,Booking,PostBooking
AmendBookingHeroBanner,PostBooking,
AmendDatesSummary,PostBooking,
AmendDatesSummarySeats,PostBooking,
AmendDatesSummarySeatMap,PostBooking,
AmendFlights,PostBooking,
AmendPassengers,PostBooking,
AmendPayment,PostBooking,Payment
AmendPaymentAccordion,PostBooking,Payment
AmendSeatsDetails,PostBooking,Payment
AmendPaymentHeader,PostBooking,Payment
AmendPaymentSummary,PostBooking,Payment
AmendPaymentSummaryDetailsWrapper,PostBooking,Payment
AmendRoomAndBoard,PostBooking,
AmendTransfers,PostBooking,
AnimationTiles,Mixed,
AttentionMessage,Mixed,
AttentionPopup,Mixed,
BagsComponent,Booking,
BannerWithBreadcrumbs,Mixed,
Basket,Cart&Payment&Checkout,
BoardTypes,Booking,
BoardTypesBrowse,Booking,
BookingInfo,Booking,
BookingContactUs,Booking,
BookingContextProvider,Booking,
BookingDownloadBanner,Booking,
BookingHeroBanner,Booking,
BookingPrivacy,Booking,
BookingTransitionScreen,Booking,
Breadcrumbs,Mixed,
BreadcrumbsStatic,Mixed,
CabinBags,Booking,PostBooking
CabinBagsValidationPopup,Booking,PostBooking
CallToActionBlock,Mixed,
CardsWithLinks,Mixed,
Chatbot,CustomerSupport,
CollapsibleLinksModule,Mixed,
ComparePriceModule,Payment,
ConfidenceModuleTransformer,Cookies&Privacy,
ContactUsBanner,CustomerSatisfaction,
ContentModal,Mixed,
CreateAccount,Account,
CreateAccountPopup,Account,
CreditConfirm,Payment,
CrisisBanner,Mixed,
CustomersFeedback,CustomerSatisfaction,
DatePickerTab,Mixed,
DealsDestinations,Destination,
DealsPromoTiles,Destination,
DepartureAirport,Destination,
DestinationGuide,Destination,
DestinationsList,Destination,
DestinationInfoBlock,Destination,
DestinationLike,Destination,
DestinationsCarousel,Destination,
DynamicPromoTextBlock,Promocodes,
EcoCertified,Mixed,
EntryQuizTab,Mixed,
Excursions,Destination,
ExperimentWrapper,Mixed,
ExportButtons,Mixed,
ExportHolidayDetails,Destination,
ExternalExtrasBanner,External,
FeaturedHotels,Hotel,
FeedbackPopup,CustomerSatisfaction,
FeefoWidget,External,
FinalQuizTab,Mixed,
FullWidthBanner,Mixed,
GenericInfoBlockBanner,Mixed,
GenericRecommendedHotels,Promo&Marketing,
GridBanners,Mixed,
GuestDetails,Booking,
HealthEntryRequirements,Booking,
FAQ,CustomerSatisfaction,
HelpLinks,CustomerSatisfaction,
HeroCarousel,Mixed,
HeroSectionWrapper,Mixed,
HoldLuggage,Destination,
HoldLuggagePopup,Destination,
HolidayCredit,Destination,
LinksCard,Mixed,
PromotionalCarouselBlocks,Promo&Marketing,
interfaces,,
HolidayTypes,Destination,
HolidayWithConfidence,Destination,
HolidaysUnder,Destination,
VirtualHotelFacilities,Hotel,
HotelImageCarouselBooking,Booking,
HotelImageCarouselBrowse,Hotel,
HotelImageSideBarBooking,Hotel,
HotelImageSideBarBrowse,Hotel,
HotelInfoBooking,Hotel,
HotelInfoBrowse,Hotel,
ResortInfoBlock,Hotel,
ShareHolidayButton,Destination,
HotelPoster,Hotel,
HotelReviewsBooking,Hotel,
HotelReviewsBrowse,Hotel,
HotelSummary,Hotel,
HotelsWithReviews,Hotel,
HtmlBlock,Mixed,
IECompatibilityBanner,Mixed,
InfoWithActionBlock,Mixed,
InformationBlock,Mixed,
InformationTiles,Mixed,
IntroBlock,Mixed,
ItinerarySummary,Destination,
LateCheckoutComponent,Cart&Payment&Checkout,
LateCheckoutPostBookBanner,Cart&Payment&Checkout,
LineSeparator,Mixed,
LoginMaintenanceMode,Account,
LogoCarousel,Mixed,
Luggage,Destination,
MaintenanceShortlistModalDialog,Mixed,
ManageBooking,Booking,
ManageCookiesPreferences,Cookies&Privacy,
DestinationMap,Destination,
HotelLocationBooking,Booking,
HotelLocationBrowse,Destination,
Itineraries,Destination,
MarketingResearchUnsubscribe,Promo&Marketing,
MasonryCarousel,Mixed,
MasonryWrapper,Mixed,
MasonryWrapperItem,Mixed,
MediaCarousel,Mixed,
ArticleBlock,Mixed,
LatestNews,Mixed,
MediaCenterFilters,Mixed,
PressContacts,Cookies&Privacy&Company,
TopicTiles,Mixed,
TopicTileItem,Mixed,
MediaVideo,Mixed,
MerchandisingAlertBanner,Promo&Marketing,
MerchandisingBanner,Promo&Marketing,
ModalDialog,Mixed,
NeedHelpBlock,CustomerSupport,
NeedToKnow,CustomerSupport,
NotAvailableBlock,Error,
NotFoundBlock,Error,
OurPolicies,Cookies&Privacy,
OurWorkCarousel,Cookies&Privacy&Company,
FloatingSearchpodBanner,Search,
StaticSearchpodBanner,Search,
PartnershipComponent,Promo&Marketing,
PartnershipsAndCertificates,Promo&Marketing,
PayBalance,Payment,
Payment,Payment,
InfoBlock,Mixed,
TermsAndConditions,Cookies&Privacy,
PlainText,Mixed,
PolicyBanner,Cookies&Privacy,
PopUnder,Destination,
PriceJumpPopup,Payment,
PricePromise,Payment,
PriceToggle,Payment,
ProductUnavailablePopup,Mixed,
PromoBlocks,Promocodes,
PromoMerchBanner,Promocodes,
PromocodeInput,Promocodes,
PromopageSearchPod,Promocodes,
ProtectedBlocks,Mixed,
QuestionAndAnswer,CustomerSatisfaction,
RedeemVoucher,Promocodes,
RoomTypes,Booking,
RoomTypesBrowse,Booking,
Schema,Mixed,
SearchPod,Search,
SearchPodWithHeader,Search,
SearchPodInner,Search,
SearchpodLink,Search,
SearchPodFilters,Search,
SearchResults,Search,
Offers,Promocodes,
SearchResultsMap.utils,Search,
SeatsAndBags,Booking,
SeatMap,Booking,
SeatsNotAvailablePopup,Booking,
Shortlists,Hotel,
ShortlistsNoResults,Mixed,
SitemapBlock,Mixed,
SlicedBanner,Mixed,
SocialMediaContent,CustomerSatisfaction,
SpecialRequests,CustomerSatisfaction,
SubscribeBlock,Account,
SuccessfulAmendmentPopup,PostBooking,
TabSearchPod,Search,
Tabs,Mixed,
TabsBooking,Booking,PostBooking
TabsBrowse,Mixed,
TextBlock,Mixed,
TradePortalBookingConfirmation,Tradeportal,
TradePortalConfirmBookingDetails,Tradeportal,
TradePortalFeedback,Tradeportal,
TradePortalFindBooking,Tradeportal,
TradePortalGroupBooking,Tradeportal,
TradePortalLoginForm,Tradeportal,
TradePortalPageHeader,Tradeportal,
TradePortalViewBooking,Tradeportal,
TradePortalViewBookingCost,Tradeportal,
TravelAware,Destination,
TravelChecklist,Destination,
TravelGroupTab,Destination,
TravelInsurance,Destination,
AmendNoTransfersPopup,PostBooking,
AmendRestrictions,PostBooking,
CardPayments,Payment,
RefundInfo,Payment,
TransferInstructions,Destination,
ViewBooking,Booking,
ViewBookingInventoryError,Booking,
ViewBookings,Booking,
WeatherDataCarousel,Mixed,
WhyBookWithUsCarousel,Booking,
WhyBookWithUsCarouselComponent,Booking,
WiderSearch,Search,
IframeHolidaysPromotingHeader,External,
FooterAllHolidaysAndFlights,Mixed,
FooterTile,Mixed,
PageFooterColumn,Mixed,
PageFooterCopyright,Mixed,
PageFooterRow,Mixed,
PageFooterSlim,Mixed,
Image,Mixed,
Imagery,Mixed,
PageHeader,Mixed,
PersistentInfoBanner,Mixed,
IRecommendedHotels,Promo&Marketing,
AmendPageHeader,PostBooking,
